SampleID	grain_length
IRIS_313-10380_IRIS_313-10380 7
IRIS_313-10385_IRIS_313-10385 9.7
IRIS_313-10392_IRIS_313-10392 9.2
IRIS_313-10394_IRIS_313-10394 8.7
IRIS_313-10396_IRIS_313-10396 8.8
IRIS_313-10397_IRIS_313-10397 10
IRIS_313-10398_IRIS_313-10398 9.7
IRIS_313-10399_IRIS_313-10399 7.8
IRIS_313-10400_IRIS_313-10400 9.1
IRIS_313-10401_IRIS_313-10401 9.9
IRIS_313-10402_IRIS_313-10402 8.8
IRIS_313-10403_IRIS_313-10403 9.2
IRIS_313-10404_IRIS_313-10404 8.3
IRIS_313-10412_IRIS_313-10412 7.5
IRIS_313-10417_IRIS_313-10417 8.8
IRIS_313-10421_IRIS_313-10421 8.5
IRIS_313-10423_IRIS_313-10423 8.6
IRIS_313-10429_IRIS_313-10429 7.1
IRIS_313-10430_IRIS_313-10430 7.3
IRIS_313-10433_IRIS_313-10433 8.8
IRIS_313-10437_IRIS_313-10437 7.6
IRIS_313-10440_IRIS_313-10440 7.2
IRIS_313-10441_IRIS_313-10441 9.3
IRIS_313-10444_IRIS_313-10444 10.4
IRIS_313-10448_IRIS_313-10448 8.2
IRIS_313-10449_IRIS_313-10449 8.2
IRIS_313-10450_IRIS_313-10450 7.6
IRIS_313-10452_IRIS_313-10452 7.7
IRIS_313-10453_IRIS_313-10453 7
IRIS_313-10458_IRIS_313-10458 7.8
IRIS_313-10469_IRIS_313-10469 7.5
IRIS_313-10476_IRIS_313-10476 8.1
IRIS_313-10477_IRIS_313-10477 8.4
IRIS_313-10480_IRIS_313-10480 8.8
IRIS_313-10484_IRIS_313-10484 8.2
IRIS_313-10485_IRIS_313-10485 10
IRIS_313-10489_IRIS_313-10489 7.3
IRIS_313-10497_IRIS_313-10497 7.7
IRIS_313-10502_IRIS_313-10502 7.7
IRIS_313-10503_IRIS_313-10503 8.8
IRIS_313-10504_IRIS_313-10504 8.4
IRIS_313-10507_IRIS_313-10507 9.3
IRIS_313-10509_IRIS_313-10509 8.1
IRIS_313-10510_IRIS_313-10510 7.6
IRIS_313-10511_IRIS_313-10511 9.2
IRIS_313-10513_IRIS_313-10513 7.9
IRIS_313-10514_IRIS_313-10514 9.6
IRIS_313-10515_IRIS_313-10515 7.4
IRIS_313-10516_IRIS_313-10516 8.6
IRIS_313-10517_IRIS_313-10517 8.5
IRIS_313-10518_IRIS_313-10518 8.5
IRIS_313-10519_IRIS_313-10519 7.1
IRIS_313-10523_IRIS_313-10523 8.7
IRIS_313-10525_IRIS_313-10525 8.1
IRIS_313-10527_IRIS_313-10527 7.6
IRIS_313-10531_IRIS_313-10531 9.5
IRIS_313-10534_IRIS_313-10534 8.1
IRIS_313-10536_IRIS_313-10536 9.3
IRIS_313-10539_IRIS_313-10539 8.1
IRIS_313-10541_IRIS_313-10541 9.6
IRIS_313-10542_IRIS_313-10542 8
IRIS_313-10543_IRIS_313-10543 8.4
IRIS_313-10544_IRIS_313-10544 7.8
IRIS_313-10545_IRIS_313-10545 8.8
IRIS_313-10547_IRIS_313-10547 8.7
IRIS_313-10549_IRIS_313-10549 8.1
IRIS_313-10550_IRIS_313-10550 9.7
IRIS_313-10552_IRIS_313-10552 9
IRIS_313-10554_IRIS_313-10554 9.5
IRIS_313-10555_IRIS_313-10555 8.9
IRIS_313-10556_IRIS_313-10556 8.5
IRIS_313-10557_IRIS_313-10557 8.4
IRIS_313-10558_IRIS_313-10558 7.4
IRIS_313-10559_IRIS_313-10559 7.6
IRIS_313-10560_IRIS_313-10560 8.3
IRIS_313-10561_IRIS_313-10561 8.6
IRIS_313-10562_IRIS_313-10562 8.9
IRIS_313-10563_IRIS_313-10563 9.5
IRIS_313-10564_IRIS_313-10564 7.4
IRIS_313-10565_IRIS_313-10565 9.8
IRIS_313-10566_IRIS_313-10566 9.4
IRIS_313-10567_IRIS_313-10567 7.5
IRIS_313-10568_IRIS_313-10568 7.4
IRIS_313-10569_IRIS_313-10569 7.7
IRIS_313-10570_IRIS_313-10570 7.5
IRIS_313-10572_IRIS_313-10572 7.8
IRIS_313-10573_IRIS_313-10573 6.3
IRIS_313-10574_IRIS_313-10574 8.2
IRIS_313-10575_IRIS_313-10575 8.6
IRIS_313-10576_IRIS_313-10576 10.3
IRIS_313-10577_IRIS_313-10577 9.6
IRIS_313-10578_IRIS_313-10578 9
IRIS_313-10580_IRIS_313-10580 8.5
IRIS_313-10581_IRIS_313-10581 8.5
IRIS_313-10582_IRIS_313-10582 9.4
IRIS_313-10583_IRIS_313-10583 7.3
IRIS_313-10585_IRIS_313-10585 7.5
IRIS_313-10587_IRIS_313-10587 8.4
IRIS_313-10592_IRIS_313-10592 9.2
IRIS_313-10593_IRIS_313-10593 8.4
IRIS_313-10594_IRIS_313-10594 9.1
IRIS_313-10595_IRIS_313-10595 9
IRIS_313-10598_IRIS_313-10598 7.5
IRIS_313-10600_IRIS_313-10600 9.4
IRIS_313-10602_IRIS_313-10602 8
IRIS_313-10603_IRIS_313-10603 8.5
IRIS_313-10604_IRIS_313-10604 9.1
IRIS_313-10605_IRIS_313-10605 8.1
IRIS_313-10606_IRIS_313-10606 8.8
IRIS_313-10608_IRIS_313-10608 10.4
IRIS_313-10609_IRIS_313-10609 8.2
IRIS_313-10610_IRIS_313-10610 8.3
IRIS_313-10614_IRIS_313-10614 8.5
IRIS_313-10617_IRIS_313-10617 7.9
IRIS_313-10618_IRIS_313-10618 7.6
IRIS_313-10619_IRIS_313-10619 9.6
IRIS_313-10620_IRIS_313-10620 10.4
IRIS_313-10623_IRIS_313-10623 8.7
IRIS_313-10628_IRIS_313-10628 8.9
IRIS_313-10631_IRIS_313-10631 7.3
IRIS_313-10640_IRIS_313-10640 11
IRIS_313-10642_IRIS_313-10642 7.6
IRIS_313-10644_IRIS_313-10644 9
IRIS_313-10645_IRIS_313-10645 9.5
IRIS_313-10648_IRIS_313-10648 10.2
IRIS_313-10649_IRIS_313-10649 8.9
IRIS_313-10651_IRIS_313-10651 9.9
IRIS_313-10652_IRIS_313-10652 9.6
IRIS_313-10654_IRIS_313-10654 10.8
IRIS_313-10655_IRIS_313-10655 10.1
IRIS_313-10656_IRIS_313-10656 10.4
IRIS_313-10657_IRIS_313-10657 8.7
IRIS_313-10659_IRIS_313-10659 10.7
IRIS_313-10660_IRIS_313-10660 9.4
IRIS_313-10661_IRIS_313-10661 8.8
IRIS_313-10662_IRIS_313-10662 8.3
IRIS_313-10664_IRIS_313-10664 8.2
IRIS_313-10666_IRIS_313-10666 9.8
IRIS_313-10667_IRIS_313-10667 8.2
IRIS_313-10668_IRIS_313-10668 10.3
IRIS_313-10670_IRIS_313-10670 8.5
IRIS_313-10671_IRIS_313-10671 8.7
IRIS_313-10673_IRIS_313-10673 7.7
IRIS_313-10674_IRIS_313-10674 8.6
IRIS_313-10675_IRIS_313-10675 8.7
IRIS_313-10676_IRIS_313-10676 9.5
IRIS_313-10677_IRIS_313-10677 7.4
IRIS_313-10678_IRIS_313-10678 10.2
IRIS_313-10679_IRIS_313-10679 9.7
IRIS_313-10680_IRIS_313-10680 8
IRIS_313-10681_IRIS_313-10681 9.9
IRIS_313-10682_IRIS_313-10682 8.6
IRIS_313-10683_IRIS_313-10683 8.4
IRIS_313-10684_IRIS_313-10684 7.2
IRIS_313-10688_IRIS_313-10688 8.2
IRIS_313-10689_IRIS_313-10689 8.2
IRIS_313-10690_IRIS_313-10690 8.7
IRIS_313-10692_IRIS_313-10692 8.8
IRIS_313-10693_IRIS_313-10693 8.9
IRIS_313-10694_IRIS_313-10694 9.5
IRIS_313-10695_IRIS_313-10695 9.8
IRIS_313-10698_IRIS_313-10698 8.5
IRIS_313-10703_IRIS_313-10703 9.2
IRIS_313-10704_IRIS_313-10704 9.6
IRIS_313-10705_IRIS_313-10705 10.1
IRIS_313-10708_IRIS_313-10708 9.2
IRIS_313-10710_IRIS_313-10710 8
IRIS_313-10711_IRIS_313-10711 9.3
IRIS_313-10712_IRIS_313-10712 9.6
IRIS_313-10715_IRIS_313-10715 8.7
